Timestamp,AccelX,AccelY,AccelZ,Temperature
2215,-0.467,-0.235,9.922,-127.00
2219,-0.472,-0.235,9.922,-127.00
2223,-0.474,-0.232,9.924,-127.00
2227,-0.472,-0.232,9.917,-127.00
2231,-0.469,-0.232,9.914,-127.00
2234,-0.467,-0.232,9.917,-127.00
2238,-0.462,-0.237,9.912,-127.00
2242,-0.462,-0.235,9.910,-127.00
2247,-0.462,-0.232,9.912,-127.00
2251,-0.462,-0.232,9.912,-127.00
2255,-0.462,-0.232,9.914,-127.00
2259,-0.467,-0.235,9.917,-127.00
2263,-0.467,-0.235,9.914,-127.00
2266,-0.467,-0.230,9.912,-127.00
2270,-0.467,-0.230,9.914,-127.00
2274,-0.462,-0.230,9.912,-127.00
2278,-0.460,-0.227,9.914,-127.00
2282,-0.462,-0.227,9.914,-127.00
2285,-0.460,-0.227,9.917,-127.00
2289,-0.460,-0.230,9.910,-127.00
2293,-0.460,-0.232,9.910,-127.00
2297,-0.464,-0.235,9.912,-127.00
2301,-0.464,-0.235,9.912,-127.00
2308,-0.460,-0.235,9.912,-127.00
2312,-0.460,-0.235,9.917,-127.00
2315,-0.457,-0.235,9.914,-127.00
2319,-0.457,-0.232,9.912,-127.00
2323,-0.455,-0.232,9.910,-127.00
2327,-0.455,-0.235,9.905,-127.00
2331,-0.457,-0.232,9.907,-127.00
2334,-0.460,-0.232,9.910,-127.00
2338,-0.462,-0.230,9.910,-127.00
2342,-0.462,-0.223,9.910,-127.00
2346,-0.464,-0.220,9.914,-127.00
2350,-0.464,-0.220,9.917,-127.00
2353,-0.464,-0.223,9.917,-127.00
2357,-0.467,-0.220,9.922,-127.00
2361,-0.467,-0.225,9.922,-127.00
2366,-0.462,-0.223,9.929,-127.00
2370,-0.464,-0.223,9.931,-127.00
2374,-0.467,-0.223,9.934,-127.00
2378,-0.467,-0.227,9.931,-127.00
2382,-0.467,-0.227,9.929,-127.00
2385,-0.467,-0.225,9.929,-127.00
2389,-0.462,-0.225,9.931,-127.00
2393,-0.464,-0.227,9.926,-127.00
2397,-0.467,-0.227,9.924,-127.00
2401,-0.467,-0.225,9.919,-127.00
2404,-0.467,-0.220,9.917,-127.00
2408,-0.467,-0.218,9.922,-127.00
2412,-0.464,-0.223,9.922,-127.00
2416,-0.460,-0.225,9.917,-127.00
2420,-0.457,-0.225,9.912,-127.00
2426,-0.455,-0.230,9.912,-127.00
2431,-0.455,-0.230,9.912,-127.00
2434,-0.460,-0.227,9.912,-127.00
2438,-0.457,-0.227,9.912,-127.00
2442,-0.457,-0.225,9.914,-127.00
2446,-0.457,-0.223,9.914,-127.00
2450,-0.455,-0.225,9.914,-127.00
2453,-0.455,-0.227,9.922,-127.00
2457,-0.453,-0.230,9.919,-127.00
2461,-0.455,-0.227,9.917,-127.00
2465,-0.457,-0.225,9.919,-127.00
2469,-0.460,-0.220,9.922,-127.00
2472,-0.462,-0.223,9.922,-127.00
2476,-0.457,-0.225,9.924,-127.00
2480,-0.460,-0.227,9.924,-127.00
2485,-0.460,-0.230,9.926,-127.00
2489,-0.462,-0.230,9.926,-127.00
2493,-0.464,-0.235,9.919,-127.00
2497,-0.462,-0.237,9.919,-127.00
2501,-0.462,-0.237,9.922,-127.00
